LAKE_ID DEPTH_M ELEV_M LONG_DD LAT_DD Fch_Jan Fch_Feb Fch_Mar Fch_Apr Fch_May Fch_Jun Fch_Jul Fch_Aug Fch_Sep Fch_Oct Fch_Nov Fch_Dec Area2000_02_km2 sto_cap_km3 area_cap_km2 elev_cap_m a b tile1 tile2
69 21.9 337 -50.346 -19.867 6356 11028 11602 12106 11069 11826 12031 10009 8997 11844 10998 6511 541.166 11.025 563.15 383.3 0.056260687 351.6168125 h13v11 h13v10
70 16.2 165 83.855 21.52 9727 9990 10516 14535 9592 10595 11145 14395 12197 9118 9103 10807 443.13 5.378 669.62 192.02 0.022037835 177.2630207 h25v06 hxxvxx
71 55.3 189 -5.472 7.031 7615 10715 8934 8621 8728 7993 7515 7584 8137 8616 8225 10296 431.118 27.68 1058.204 206 0.034228331 169.779447 h17v08 hxxvxx
72 19.8 86 88.285 66.95 5205 5205 5205 5205 5205 5207 12141 5205 5205 5205 5205 5205 471.926 9.96 558 95.63036264 0.049708819 67.89284164 h21v02 hxxvxx
73 1 288 14.467 63.304 6599 6599 7086 6930 8489 9432 7809 7086 7086 7086 7084 6597 479.93 0.505 484.601 293.130474 0.004216396 291.0872035 h18v02 hxxvxx
74 4.5 887 -114.232 47.676 13503 14155 12546 11511 11017 10997 10728 10842 11017 11736 13082 14077 485.329 23.2 510 883.6114321 0.132393964 816.0905105 h10v04 hxxvxx
75 4.7 488 -70.529 50.657 8525 8525 9856 11989 9856 8897 8488 8488 8488 8488 8488 8523 461.551 2.22 470.438 494.182236 0.033120469 478.6011189 h13v03 hxxvxx
76 3.3 404 150.409 62.055 5048 5079 5069 4627 6557 5027 5170 4457 4456 4835 5027 4485 425.377 15.08 454.6 452.9955512 0.136575115 390.9085039 h25v02 hxxvxx
77 7.2 728 35.985 -7.137 13892 13574 10787 10068 10169 9974 10061 10826 11618 12098 12801 13467 358.94 3.2 478.828 698.5 0.021831191 688.0466222 h21v09 hxxvxx
78 9.7 345 69.819 40.277 8742 8745 8744 8744 8742 9277 9533 8854 8742 8742 8744 8742 441.622 4.2 513 346.2325406 0.021429957 335.2389727 h23v04 hxxvxx
79 59.6 737 -118.57 52.078 2207 2207 2208 2207 2207 2217 2707 2448 2209 2207 2208 2207 355.446 24.762 430 759.1500986 0.317169115 622.7673791 h10v03 hxxvxx
80 38.5 71 47.027 40.794 14151 13077 29342 22490 22679 11503 9925 10559 12594 16185 11441 13515 422.447 15.73 567.969 83 0.072153856 42.01887071 h21v04 hxxvxx
81 20.8 220 -54.97 -25.374 5523 5523 5814 6187 6168 5653 5760 5999 7493 6756 6907 5740 424.538 8.473 620 231.135892 0.045167058 203.132316 h12v11 h13v11
82 26.6 266 83.007 24.201 7938 8158 7938 8580 11554 19619 11203 19003 18254 8498 8140 8121 374.163 5.65 426.362 268.22 0.062075725 241.7532691 h25v06 hxxvxx
83 77 821 38.761 38.807 5167 5036 5190 5508 3854 4174 4165 4114 4095 5270 5237 5149 453.491 30.6 675 848.7924091 0.113017443 772.5056351 h20v05 h21v05
84 7 420 -68.689 -38.579 15813 15781 18019 15158 13248 13223 12967 13140 13887 17105 18148 17402 412.265 27.7 413 417.108558 0.307592018 290.0730546 h12v12 hxxvxx
85 14.1 294 81.288 24.19 6786 6583 6612 12133 10170 14161 12788 9965 9533 6832 6773 6890 77.479 5.166 471.595 341.64 0.050881922 317.6443154 h25v06 hxxvxx
86 20.6 48 -94.106 31.065 17503 13670 12445 10115 9489 8130 6961 7660 15349 17580 14948 17052 369.141 3.548 455.636 50.10912 0.03550315 35.6571102 h09v05 hxxvxx
87 18.8 549 -49.229 -23.212 10017 10357 9593 9184 9452 10240 10426 8523 7503 8006 10117 10249 368.526 7.008 542 566.4823607 0.00227674 565.2483676 h13v11 hxxvxx
88 23 96 73.598 21.256 7509 6045 6008 7142 9665 15241 17684 15318 13001 17978 14747 16659 344.191 6.615 509.85 105.16 0.042291414 83.59772467 h24v06 hxxvxx
89 4.7 1371 -111.892 40.359 15139 14720 13968 14934 12361 13345 14253 14266 14326 14526 14847 14786 375.134 1.07 380 1368.278552 0.023069577 1359.512113 h09v04 hxxvxx
90 4 637 -116.998 48.178 6086 6086 6089 7274 9325 8964 8561 8561 8756 6257 6086 6086 359.981 54.199 381.466 628.8024 0.228446548 541.6579177 h10v04 hxxvxx
91 10.7 494 76.331 15.264 18378 18497 16528 15098 18355 16396 17457 18417 18710 9406 18415 17914 177.738 3.276 349.424 497.74 0.041219304 483.3369887 h25v07 hxxvxx
92 36 275 42.829 36.629 6098 6360 6409 7167 5955 6752 5955 5959 7446 5955 5935 6094 250.764 11.1 353.156 330 0.160315289 273.383752 h21v05 hxxvxx
